날짜,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 40,2.1",상한선,하한선,"Bollinger Bands중심선 20,2.4",상한선,하한선,종가 지수 2,3,5,224,448,Para SAR 강세패턴,약세패턴,RSI과매도,Stochastics 매수,MFI침체권,골든크로스,데드크로스,##5이평 15일선 골든크로스신호,##5이평 20일선 골든크로스신호,거래량,지수 5,15,56,112
20180704,21700,21758.13301,22076.98652,22242.53737,22116.81771,21174.48548,21625,22625,0,22525,22700,22263.33333,24074.24429,20452.42237,22549.16667,24757.38676,20340.94657,21702.16576,21712.82792,21758.13301,19137.61178,17194.77661,0,1,0,0,0,22048.40303,21600,0,0,7490,118348.8819,274127.7717,370312.9617,406786.9223
20180703,21700,21787.19952,22130.84174,22276.44596,22131.97471,21165.01675,21625,22625,0,22525,22700,22282.91667,24083.55506,20482.27828,22618.33333,24785.50292,20451.16375,21706.49728,21725.65585,21787.19952,19114.63072,17174.61901,0,1,0,0,0,22048.40303,21600,0,0,108947,173778.3229,312218.8819,383506.5239,413981.4615
20180702,21700,21830.79928,22192.39056,22312.47383,22147.68288,21155.37741,21625,22625,0,23137.5,22700,22310,24108.10776,20511.89224,22630,24772.50694,20487.49306,21719.49185,21751.31169,21830.79928,19091.44355,17154.37122,0,1,0,0,0,22048.40303,21600,0,0,161833,206193.9843,341257.7222,393490.5066,419477.5779
20180629,21750,21896.19891,22262.73206,22350.75345,22163.96226,21145.56439,21700,22625,0,23275,22700,22343.75,24162.28021,20525.21979,22609.16667,24803.02993,20415.30341,21758.47554,21802.62339,21896.19891,19068.04842,17134.03283,0,1,0,0,0,22048.40303,21600,0,0,171299,228374.4765,366889.8254,401914.416,424119.8225
20180628,21600,21969.29837,22335.9795,22388.30054,22179.01543,21134.67366,21700,22625,0,23312.5,22675,22393.33333,24234.54292,20552.12374,22572.5,24896.40275,20248.59725,21775.42662,21855.24677,21969.29837,19043.99505,17113.37974,0,1,0,0,0,22048.40303,21600,0,0,109269,256912.2148,394831.3719,410300.4311,428675.1527
20180627,22100,22153.94756,22441.11943,22437.56932,22200.07054,21126.2894,22625,22625,0,23312.5,22675,22424.58333,24269.48488,20579.68178,22535,24958.58082,20111.41918,22126.27987,22110.49355,22153.94756,19021.07124,17093.30537,0,1,0,0,0,22048.40303,21600,0,0,208859,330733.8222,435625.9964,421247.0286,434430.2185
20180626,22300,22180.92133,22489.85078,22458.6674,22203.70947,21108.74507,22625,22625,0,23312.5,22675,22435.41667,24282.99217,20587.84116,22470,25019.43445,19920.56555,22178.83961,22120.9871,22180.92133,18993.45753,17070.90405,0,1,0,0,0,22048.40303,21600,0,0,226882,391671.2333,468021.2816,428970.2296,438494.5648
20180625,22200,22121.382,22516.97232,22468.58412,22200.208,21087.28101,22625,22625,0,23312.5,22675,22457.08333,24310.87589,20603.29077,22415,25069.05049,19760.94951,21936.51884,21941.9742,22121.382,18963.80244,17047.50765,0,1,0,0,0,22048.40303,21600,0,0,264634,474065.8499,502469.7504,436318.8925,442307.4038
20180622,21100,22082.073,22562.25408,22485.37062,22200.21556,21067.23202,22625,22625,0,23312.5,22675,22480.83333,24321.73934,20639.92732,22411.66667,25070.63188,19752.70145,21409.55651,21683.94839,22082.073,18934.77824,17024.45399,0,1,0,0,0,22048.40303,21600,0,0,548686,578781.7748,536446.2862,442561.9795,445508.7264
20180621,21600,22573.1095,22771.14752,22571.95629,22240.2234,21066.64161,22900,22775,0,23075,22675,22540.83333,24341.41156,20740.25511,22451.66667,25022.67114,19880.66219,22028.66953,22267.89679,22573.1095,18915.35921,17006.21889,0,1,0,0,0,22048.40303,21600,0,0,688852,593829.6623,534697.7557,438702.9242,443649.6764
20180620,22950,23059.66426,22938.4543,22632.70356,22263.50425,21057.03155,22900,22775,0,23112.5,22675,22597.5,24459.15046,20735.84954,22455,25021.99357,19888.00643,22886.00858,22935.79357,23059.66426,18891.28172,16985.66506,0,1,0,0,0,22048.40303,22650,0,0,291251,546318.4934,512675.7208,429606.5942,439231.6165
20180619,22650,23114.49639,22936.80492,22612.87253,22238.54077,21022.92401,22900,22775,0,23087.5,22675,22648.75,24637.79091,20659.70909,22435,25000.2727,19869.7273,22758.02574,22921.58714,23114.49639,18854.88066,16958.979,0,1,0,0,0,22048.40303,22650,0,0,231482,673852.2401,544307.8238,434637.7067,441897.9339
20180618,22700,23346.74458,22977.77705,22610.55206,22223.57861,20993.60732,22900,22775,0,23087.5,22675,22684.58333,24736.19824,20632.96842,22401.66667,24967.0641,19836.26923,22974.07723,23193.17429,23346.74458,18820.84371,16933.51582,0,1,0,0,0,22048.40303,22650,0,0,571987,895037.3601,588997.2271,442025.187,445689.212
20180615,22950,23670.11687,23017.45949,22604.96156,22206.2542,20962.86151,22900,22775,0,23087.5,22675,22695,24749.26745,20640.73255,22378.33333,24944.9529,19811.71377,23522.2317,23686.34858,23670.11687,18786.05307,16907.71499,0,1,0,0,0,22048.40303,22650,0,0,2403879,1056562.54,591427.2596,437299.3028,443413.5762
20180614,25000,24030.1753,23027.09656,22583.39666,22179.2089,20927.05721,22975,22775,0,23012.5,22675,22707.91667,24775.27319,20640.56015,22325.83333,24887.78493,19763.88173,24666.69509,24422.69716,24030.1753,18748.70826,16880.68016,1,0,0,0,0,22048.40303,22650,0,0,480141,382904.3103,332505.5824,365787.3139,408089.8749
20180612,24150,23545.26295,22745.25321,22432.35895,22076.63468,20853.67086,22650,22650,0,23075,22650,22672.91667,24640.0706,20705.76273,22187.5,24395.29981,19979.70019,24000.08526,23845.39431,23545.26295,18692.64286,16844.35211,1,0,0,0,0,22048.40303,22650,0,0,300024,334285.9654,311414.8084,361628.998,406791.6564
20180611,23900,23242.89443,22544.57509,22325.00639,22001.23957,20794.27754,22650,22650,0,23400,22400,22676.25,24652.66389,20699.83611,22131.66667,24167.89455,20095.43878,23700.25578,23540.78863,23242.89443,18643.69795,16811.66464,1,0,0,0,0,22048.40303,22650,0,0,484544,351416.9482,313042.0668,363869.1797,408715.3979
20180608,23400,22914.34164,22350.94296,22226.56929,21932.19374,20738.31857,22175,22300,0,23450,22400,22679.16667,24664.43735,20693.89598,22091.66667,23953.94484,20229.38849,23300.76733,23181.57726,22914.34164,18596.55623,16779.9495,1,0,0,0,0,22048.40303,22650,0,0,200005,284853.4223,288541.7906,359481.0045,407349.1168
20180607,23150,22671.51246,22201.07767,22153.22987,21878.81897,20690.36035,22175,22400,0,23450,22400,22701.66667,24741.6413,20661.69203,22092.5,23958.03906,20226.96094,23102.302,22963.15452,22671.51246,18553.47602,16750.32958,1,0,0,0,0,22048.40303,22650,0,0,282408,327277.6334,301189.9036,365280.1319,411085.0469
20180605,23200,22432.26869,22065.51734,22090.93173,21832.5942,20646.04252,22175,22400,0,23450,22400,22705.41667,24750.1535,20660.67983,22038.33333,23798.97413,20277.69254,23006.90601,22776.30903,22432.26869,18512.25159,16721.69571,1,0,0,0,0,22048.40303,22650,23200,23200,274276,349712.4501,303873.0327,368293.664,413403.5522
20180604,23000,22048.40303,21903.44839,22021.61497,21782.87035,20600.02527,22175,22400,0,23450,22400,22670,24735.96672,20604.03328,21977.5,23635.56031,20319.43969,22620.71802,22352.61806,22048.40303,18470.209,16692.71001,1,0,0,0,0,22048.40303,22650,0,0,692218,387430.6751,308101.1802,371712.4881,415910.3549
20180601,22100,21572.60455,21746.79816,21960.4659,21738.61109,20556.78248,21475,22400,0,23450,22400,22615.41667,24759.64001,20471.19333,21947.5,23521.35006,20373.64994,21862.15407,21705.23613,21572.60455,18429.58307,16664.48947,1,0,0,0,0,22799.31308,22650,0,0,274100,235037.0127,253227.3488,360057.7422,410931.8388
20180531,21600,21308.90682,21696.34075,21951.74502,21725.46968,20528.97676,21625,22400,0,23450,22300,22592.5,24788.5227,20396.4773,21990,23625.81906,20354.18094,21386.46221,21310.47225,21308.90682,18396.66453,16640.16952,0,1,0,0,0,22799.31308,22650,0,0,246719,215505.519,250245.5415,363183.4783,413397.2774
20180530,20900,21163.36023,21710.10372,21973.72909,21730.03221,20509.67904,21625,22400,0,23512.5,22300,22577.08333,24816.32698,20337.83969,22078.33333,23814.49462,20342.17205,20959.38662,21020.94451,21163.36023,18367.93507,16617.97788,0,1,0,0,0,22799.31308,22650,0,0,177330,199898.7785,250749.3331,367418.5502,416400.4896
20180529,21050,21295.04035,21825.83282,22040.83715,21760.2152,20502.64623,21650,22975,0,23512.5,22300,22580.41667,24808.61254,20352.22079,22214.16667,23970.6757,20457.65763,21078.15985,21141.88901,21295.04035,18345.22597,16598.81894,0,1,0,0,0,22799.31308,22650,0,0,183239,211183.1677,261237.8093,374330.8612,420708.066
20180528,21100,21417.56052,21936.66608,22102.76448,21786.04121,20492.784,21650,23400,21700,23375,22300,22570.41667,24831.85396,20308.97938,22314.16667,24010.34001,20617.99333,21134.47954,21233.77802,21417.56052,18320.9679,16578.90315,0,1,0,0,0,22799.31308,22650,0,0,158771,225155.2516,272380.4963,381279.6561,424986.7879
20180525,20950,21576.34078,22056.18981,22165.43726,21810.98816,20481.84317,21650,23400,21700,22462.5,21725,22547.08333,24898.14679,20196.01988,22400.83333,23951.18684,20850.47983,21203.43861,21367.55605,21576.34078,18296.04385,16558.67452,0,1,0,0,0,22799.31308,22650,0,0,393108,258347.3774,288610.4243,389370.88,429783.4687
20180524,21600,21889.51117,22214.21692,22241.40208,21842.29682,20473.40791,22425,23850,21700,22412.5,21700,22529.16667,24942.03212,20116.30122,22499.16667,23882.17643,21116.15691,21710.31582,21785.1121,21889.51117,18272.24155,16539.02654,0,1,0,0,0,22799.31308,22650,0,0,163887,190967.0661,273682.1992,389234.9847,430444.288
20180523,21900,22034.26675,22301.9622,22281.48972,21851.10762,20453.10896,22700,23850,21750,22387.5,21700,22480.83333,25045.4349,19916.23177,22550,23864.35155,21235.64845,21930.94745,21970.2242,22034.26675,18242.39618,16516.38236,0,1,0,0,0,22799.31308,22650,0,0,130890,204507.0992,289367.2277,397429.4569,435247.122
20180521,21850,22101.40013,22359.38537,22305.33282,21849.32971,20427.03885,22775,23850,21600,22387.5,21700,22430,25134.05524,19725.94476,22630,23959.45703,21300.54297,21992.84234,22040.44839,22101.40013,18209.59256,16492.29458,0,1,0,0,0,22799.31308,22650,0,0,214992,241315.6488,312006.8317,407121.8008,440731.0341
20180518,22400,22227.10019,22432.15471,22333.79112,21849.30534,20401.39991,22775,23850,22100,22375,21700,22406.66667,25146.0713,19667.26203,22740,24233.3131,21246.6869,22278.52701,22230.89678,22227.10019,18176.94317,16468.32275,0,1,0,0,0,22799.31308,22650,0,0,243463,254477.4732,325866.0933,414108.339,444798.4041
20180517,22000,22140.65028,22436.74824,22329.65307,21829.28008,20365.3891,22775,23850,22300,22300,21700,22388.75,25141.75517,19635.74483,22862.5,24659.11348,21065.88652,22035.58102,22061.79356,22140.65028,18139.06822,16441.7828,0,1,0,0,0,22799.31308,22650,0,0,193711,259984.7099,337637.9638,420313.624,448426.069
20180516,22200,22210.97542,22499.14084,22350.25639,21823.07208,20335.93665,22775,23850,22200,22125,21575,22372.91667,25141.45524,19604.37809,22967.5,24836.1669,21098.8331,22106.74305,22123.58713,22210.97542,18104.44103,16416.91382,0,1,0,0,0,22799.31308,22650,0,0,201325,293121.5648,358198.9586,428553.7194,453015.5297
20180515,21850,22216.46313,22541.87525,22359.64741,21809.36561,20302.34992,22775,23850,21100,21925,21375,22342.5,25151.09408,19533.90592,23011.66667,24823.01313,21200.32021,21920.22916,22047.17425,22216.46313,18067.70956,16391.03872,0,1,0,0,0,22799.31308,22650,0,0,202701,339019.8472,380609.5241,436816.582,457550.4942
20180514,21700,22399.6947,22640.71457,22391.50037,21807.888,20274.46433,22775,23375,21600,20737.5,21000,22310,25174.65753,19445.34247,23090,24798.58538,21381.41462,22060.68747,22244.3485,22399.6947,18033.78767,16366.61384,0,1,0,0,0,22799.31308,22650,0,0,389072,407179.2708,406025.0276,445329.8758,462142.377
20180511,22650,22749.54205,22775.10236,22434.71915,21811.8112,20248.77901,22900,23325,22950,20500,21000,22276.66667,25193.53189,19359.80144,23158.33333,24745.70853,21570.95814,22782.0624,22788.697,22749.54205,18000.90684,16342.75081,0,1,0,0,0,22799.31308,22650,0,0,270213,416232.9062,408446.8887,447375.6168,463458.9604
