날짜,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 40,2.1",상한선,하한선,"Bollinger Bands중심선 20,2.4",상한선,하한선,종가 지수 2,3,5,224,448,Para SAR 강세패턴,약세패턴,RSI과매도,Stochastics 매수,MFI침체권,골든크로스,데드크로스,##5이평 15일선 골든크로스신호,##5이평 20일선 골든크로스신호,거래량,지수 5,15,56,112
20180704,10050,10220.27799,10848.94837,11701.38543,12172.19014,12201.04194,10540,11715,0,14012.5,14850,12235.41667,14675.91258,9794.920757,11336.66667,13760.40131,8912.932028,10041.67078,10091.17029,10220.27799,12137.71926,12870.26145,0,1,0,0,0,11039.65314,14300,0,0,45115,234392.6398,341527.2459,739630.7153,913973.6882
20180703,9940,10305.41699,10963.08385,11804.59702,12249.36069,12239.79945,10540,11715,0,14012.5,14750,12339.33333,14738.98203,9939.684632,11480.33333,13911.3975,9049.269171,10025.01235,10132.34059,10305.41699,12156.4432,12882.88007,0,1,0,0,0,11039.65314,14300,0,0,341642,329031.4596,383871.8525,764885.8322,929628.7997
20180702,9950,10488.12548,11109.23869,11921.13434,12333.33744,12281.23728,10675,11850,0,14162.5,14675,12448.75,14797.78703,10099.71297,11638.33333,14060.89726,9215.769402,10195.03704,10324.68118,10488.12548,12176.32161,12896.04732,0,1,0,0,0,11039.65314,14300,0,0,414913,322726.1894,389904.6886,780276.517,940223.1565
20180629,10750,10757.18822,11274.84422,12044.33023,12420.00426,12323.24155,10750,11925,0,14162.5,14525,12567.08333,14936.48882,10197.67785,11774.16667,14159.4373,9388.896032,10685.11113,10699.36236,10757.18822,12196.28862,12909.22874,0,1,0,0,0,11039.65314,14300,0,0,228162,276632.7842,386332.0726,793562.4631,949688.2043
20180628,10400,10760.78234,11349.82196,12125.22587,12480.73168,12351.58825,11225,12025,0,14162.5,14525,12696.66667,15182.16204,10211.17129,11885.83333,14222.06192,9549.604749,10555.3334,10648.72472,10760.78234,12209.25982,12918.88971,0,1,0,0,0,11039.65314,14300,0,0,279130,300868.1763,408927.7973,814122.48,962688.6765
20180627,10750,10941.1735,11485.51081,12233.05249,12556.39466,12386.752,11325,12025,0,14362.5,14500,12825,15397.58333,10252.41667,12015.83333,14330.32593,9701.340732,10866.00021,10897.44944,10941.1735,12225.48637,12930.15991,0,1,0,0,0,11039.65314,14300,0,0,296120,311737.2644,427470.3398,833576.752,975005.049
20180626,11150,11036.76026,11590.58378,12325.74327,12622.08173,12416.24302,11475,12025,0,14387.5,14450,12934.16667,15556.86674,10311.46659,12127.5,14445.23251,9809.767487,11098.00063,11044.89887,11036.76026,12238.71943,12939.91454,0,1,0,0,0,11039.65314,14300,0,0,181177,319545.8966,446234.674,853120.6338,987237.2121
20180625,11100,10980.14038,11653.52433,12399.22722,12675.61198,12439.05821,11625,12025,0,14600,14450,13046.25,15725.16207,10367.33793,12233.33333,14532.02862,9934.638051,10994.00188,10939.79774,10980.14038,12248.48373,12947.92311,0,1,0,0,0,11039.65314,14300,0,0,219138,388730.3449,484100.056,877554.9478,1001760.819
20180622,10900,10920.21057,11732.59923,12480.42893,12732.90696,12463.18539,11700,12025,0,14650,14450,13161.25,15880.17097,10442.32903,12332.5,14561.92055,10103.07945,10782.00564,10779.59548,10920.21057,12258.78403,12956.19122,0,1,0,0,0,11039.65314,14300,0,0,280455,473526.5173,521951.7783,901497.3823,1015862.132
20180621,10450,10930.31586,11851.54198,12579.20573,12799.55812,12491.35089,11825,12025,0,14887.5,14450,13292.5,16039.26368,10545.73632,12439.16667,14500.82716,10377.50617,10546.01692,10659.19096,10930.31586,12270.97044,12965.39118,0,1,0,0,0,11039.65314,14300,0,0,371252,570062.276,556451.3181,924080.7416,1029112.711
20180620,10750,11170.47379,12051.76226,12712.28109,12884.9966,12528.13199,11825,12150,0,14862.5,14450,13419.16667,16130.62268,10707.71066,12578.33333,14449.59387,10707.0728,10738.05075,10868.38192,11170.47379,12287.30201,12976.64573,0,1,0,0,0,11039.65314,14300,0,0,534217,669467.414,582908.3635,944183.605,1040966.057
20180619,10350,11380.71069,12237.7283,12834.92366,12962.63284,12560.1704,11825,12150,0,14912.5,14450,13565.83333,16302.81263,10828.85403,12703.33333,14271.39456,11135.27211,10714.15224,10986.76384,11380.71069,12301.08947,12986.60835,0,1,10350,0,0,11039.65314,14300,0,0,1029369,737092.621,589864.2726,959091.4815,1050096.67
20180618,11250,11896.06604,12507.40377,12990.23139,13057.63767,12599.99329,12200,12500,0,14912.5,14450,13712.91667,16446.48711,10979.34623,12802.5,13910.38267,11694.61733,11442.45671,11623.52769,11896.06604,12318.58803,12998.40526,0,1,0,0,0,11039.65314,14300,0,0,831118,590954.4315,527077.883,956535.9354,1050470.142
20180615,11600,12219.09905,12687.03288,13098.99585,13123.36995,12624.3175,12500,12800,0,14875,14450,13855.83333,16711.33306,11000.33361,12879.16667,13710.34655,12047.98678,11827.37012,11997.05538,12219.09905,12328.17178,13006.2281,0,1,0,0,0,11039.65314,14300,0,0,558650,470872.6472,483643.5805,961096.5876,1054422.433
20180614,12100,12528.64858,12842.32329,13192.68309,13178.76522,12642.77367,12700,13050,0,14925,14450,13971.66667,16872.05819,11071.27514,12935.83333,13544.47444,12327.19222,12282.11037,12394.11075,12528.64858,12334.70247,13012.51995,0,1,0,0,0,11039.65314,14300,0,0,548296,426983.9708,472928.3777,975731.0089,1063355.269
