,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 20,2.4",상한선,하한선,224,448,Para SAR 강세패턴,약세패턴,골든크로스,데드크로스,거래량,OBV,Signal 9,VR 21,"Slow %K 20,5",Slow %D 3,RSI 21,CCI 42
종가,1.0,0.9645195614578056,0.9294331276353609,0.8926407997167929,0.8583877014050308,0.8000304237658514,0.9341963236608807,0.887527420465805,0.8007322911126776,0.7809042237189325,0.7380928819203764,0.9003776360380059,0.8765163346049416,0.8406205409209688,0.71717796196142,0.6026405713968583,0.04315220759845801,-0.04315220759845801,0.7664892098835705,0.790072524924985,-0.05634347005004987,-0.24340904868032848,-0.24594901280087966,0.1446693178883485,0.09888176822451811,0.10175838399863085,0.11495641910950516,0.0822601697067341
종가 지수 5,0.9645195614578056,1.0,0.9559466110271285,0.9119109644293489,0.8731368604263827,0.8105083909958375,0.9618297591150538,0.9078213990221273,0.7978562926742191,0.7900669923576816,0.7455205081795073,0.9228188587551684,0.8964566069134714,0.8531839582576993,0.7247088240612755,0.6082246297075502,0.024702405699093023,-0.024702405699093023,0.7794203581227205,0.800559602997062,-0.06350238687467413,-0.2444905276848642,-0.24593786646031185,0.13286453896561645,0.08382148524597498,0.09043585150158129,0.09330166883768014,0.0627857638251175
15,0.9294331276353609,0.9559466110271285,1.0,0.9499171949428763,0.9055653833470944,0.8358429553267883,0.9594808995767727,0.9409771883828506,0.7910110136904124,0.8180017098934104,0.7683639496538028,0.964751332706259,0.9110697314079178,0.8654054709707212,0.7436938987355268,0.6223506910234893,-0.007632598462986624,0.007632598462986624,0.8090137032067684,0.8283200292112095,-0.0750219142889757,-0.24637427729990533,-0.24688863082787701,0.1084214265513955,0.04530793304748842,0.05295178321313948,0.05492506974064565,0.024980056586840296
33,0.8926407997167929,0.9119109644293489,0.9499171949428763,1.0,0.9524120617101468,0.8754351684975052,0.9160546008039194,0.9425831604799766,0.7761506745664993,0.8633247665384085,0.8103171569792511,0.961124815917528,0.9008723464577171,0.8680869954073838,0.7761193994311477,0.6479343581692774,-0.02573049872978359,0.02573049872978359,0.8462472976143941,0.8660692583881499,-0.08880948274799925,-0.24777385962847828,-0.2478522893633868,0.08309026328101425,0.01392966833031825,0.01934545541569366,0.012763729034412453,-0.013916394303108232
56,0.8583877014050308,0.8731368604263827,0.9055653833470944,0.9524120617101468,1.0,0.9197344750414167,0.8761264651557535,0.905826680530154,0.7559204691339888,0.8921151353965514,0.8509349470017369,0.91718683119584,0.8731679712845347,0.8550722845579262,0.8152080982793285,0.680866215271298,-0.03166530936552334,0.03166530936552334,0.8620753932167838,0.8857181089447501,-0.10217732472037377,-0.25147760784481016,-0.25141623738328234,0.06913603310120957,0.00044885996939515184,0.004063081261032089,-0.01826202298052052,-0.03818796781016873
112,0.8000304237658514,0.8105083909958375,0.8358429553267883,0.8754351684975052,0.9197344750414167,1.0,0.8118242296601751,0.8358876794218476,0.7167777006717515,0.8741240178642751,0.8734692105640391,0.8449895781430713,0.8146864871988955,0.808619828924617,0.8906759805927242,0.7464468886625766,-0.03491598501747559,0.03491598501747559,0.8441250492182126,0.8722435367084421,-0.12608242363318947,-0.2599587105486826,-0.25991849699595543,0.050720969462324475,-0.010369941855423014,-0.008648041075455097,-0.05230571702024286,-0.06161961506569396
전환선 9,0.9341963236608807,0.9618297591150538,0.9594808995767727,0.9160546008039194,0.8761264651557535,0.8118242296601751,1.0,0.9206357869949789,0.7903532664142696,0.791088434434372,0.7465633023699323,0.9311556524636225,0.9074704036550377,0.8500194279263621,0.7248401296033515,0.6099508402126186,0.005797778618807294,-0.005797778618807294,0.7837361734943706,0.8011262912525235,-0.06374294338012723,-0.245360123029271,-0.24600379954669763,0.12375403692090212,0.06335545072617224,0.0733430178373825,0.07885931639889149,0.04907936338797552
기준선 26,0.887527420465805,0.9078213990221273,0.9409771883828506,0.9425831604799766,0.905826680530154,0.8358876794218476,0.9206357869949789,1.0,0.7687886193147871,0.8293684418793497,0.7748346406697679,0.9479670239705783,0.91881775363393,0.8412439885402276,0.7412939750083002,0.6267184234054013,-0.03568115872343782,0.03568115872343782,0.8268221617042751,0.8338368447903942,-0.07789143636964238,-0.25339448338023485,-0.25356684152480696,0.08324951460499981,0.003994747813118309,0.009265664271294398,0.029261735707620744,8.894259026517539e-05
후행스팬 26,0.8007322911126776,0.7978562926742191,0.7910110136904124,0.7761506745664993,0.7559204691339888,0.7167777006717515,0.7903532664142696,0.7687886193147871,1.0,0.7079355072451331,0.6728688512940626,0.7805533080496005,0.7659401137029531,0.7374725995935887,0.6495894473849837,0.54908502253111,0.033029787177970574,-0.033029787177970574,0.6891937675337282,0.7097556730345563,-0.08031216158152844,-0.25394639905352295,-0.25486195357035757,0.1298086031892999,0.090173113082375,0.09313008353829227,0.10372753530944989,0.07577936698803217
"선행스팬1 9,26",0.7809042237189325,0.7900669923576816,0.8180017098934104,0.8633247665384085,0.8921151353965514,0.8741240178642751,0.791088434434372,0.8293684418793497,0.7079355072451331,1.0,0.8909091901830299,0.8301025862241959,0.7985151643551724,0.8096408567592599,0.7902075062008336,0.6683901059852522,-0.039176340542422965,0.039176340542422965,0.8767501317576043,0.8857210242056421,-0.12090500241071041,-0.25285607216897416,-0.2529669658564816,0.03435624431612907,-0.029200868677642218,-0.03168888964728363,-0.0696123807249746,-0.091629816758402
"선행스팬2 52,26",0.7380928819203764,0.7455205081795073,0.7683639496538028,0.8103171569792511,0.8509349470017369,0.8734692105640391,0.7465633023699323,0.7748346406697679,0.6728688512940626,0.8909091901830299,1.0,0.7772070890451875,0.7537715536845317,0.7588619190369789,0.8089846641176559,0.6961005022824919,-0.04669280577325606,0.04669280577325606,0.8381205100634792,0.8552865230324411,-0.13302488475398877,-0.2652178933782577,-0.2653172901591813,0.042892226527108585,-0.02051680571770384,-0.02222642788201908,-0.08291080291239268,-0.08773375258552131
"Bollinger Bands중심선 20,2.4",0.9003776360380059,0.9228188587551684,0.964751332706259,0.961124815917528,0.91718683119584,0.8449895781430713,0.9311556524636225,0.9479670239705783,0.7805533080496005,0.8301025862241959,0.7772070890451875,1.0,0.9124828850475188,0.8704784865527572,0.7508089708166032,0.6281744706870211,-0.032501420195019004,0.032501420195019004,0.8243212430408203,0.8415770922548845,-0.08217031484379148,-0.24681603510403546,-0.24675005803711852,0.09165161768701881,0.015630669597651997,0.02326970669382665,0.030392848013884272,0.00038009500802154534
상한선,0.8765163346049416,0.8964566069134714,0.9110697314079178,0.9008723464577171,0.8731679712845347,0.8146864871988955,0.9074704036550377,0.91881775363393,0.7659401137029531,0.7985151643551724,0.7537715536845317,0.9124828850475188,1.0,0.7829594174634499,0.7299064330013483,0.6194884202744589,-0.03469506194709929,0.03469506194709929,0.7908401051316151,0.8099912391365645,-0.06376278769837303,-0.261783258720071,-0.2621194649799407,0.10129322938997534,0.018296348533589333,0.026768928486106708,0.043558958080020534,0.014623597205260524
하한선,0.8406205409209688,0.8531839582576993,0.8654054709707212,0.8680869954073838,0.8550722845579262,0.808619828924617,0.8500194279263621,0.8412439885402276,0.7374725995935887,0.8096408567592599,0.7588619190369789,0.8704784865527572,0.7829594174634499,1.0,0.7261081033366998,0.6114657106531475,-0.03600664624181979,0.03600664624181979,0.8076458931894204,0.8085023706324631,-0.12610715817448576,-0.23088189526327765,-0.23030489065917345,0.06201652761826056,0.0024397830643070545,0.00851180667483442,0.0037801536186606215,-0.026529204753224952
224,0.71717796196142,0.7247088240612755,0.7436938987355268,0.7761193994311477,0.8152080982793285,0.8906759805927242,0.7248401296033515,0.7412939750083002,0.6495894473849837,0.7902075062008336,0.8089846641176559,0.7508089708166032,0.7299064330013483,0.7261081033366998,1.0,0.8500493593184165,-0.03671140581958897,0.03671140581958897,0.7753780591678253,0.8092164372248767,-0.17369947539550384,-0.3069373142037895,-0.3067979569367173,0.04290089209178441,-0.014738248206885091,-0.01397758271023766,-0.08358114230692128,-0.07563814518440488
448,0.6026405713968583,0.6082246297075502,0.6223506910234893,0.6479343581692774,0.680866215271298,0.7464468886625766,0.6099508402126186,0.6267184234054013,0.54908502253111,0.6683901059852522,0.6961005022824919,0.6281744706870211,0.6194884202744589,0.6114657106531475,0.8500493593184165,1.0,-0.047360802538152585,0.047360802538152585,0.6659920487802587,0.6845546310976107,-0.25808461855110326,-0.4038749278546624,-0.40397397217564424,0.04822584338801029,-0.013241473381186728,-0.012506172528065403,-0.0945618447849156,-0.07887885837038439
Para SAR 강세패턴,0.04315220759845801,0.024702405699093023,-0.007632598462986624,-0.02573049872978359,-0.03166530936552334,-0.03491598501747559,0.005797778618807294,-0.03568115872343782,0.033029787177970574,-0.039176340542422965,-0.04669280577325606,-0.032501420195019004,-0.03469506194709929,-0.03600664624181979,-0.03671140581958897,-0.047360802538152585,1.0,-1.0,-0.0476419732749,-0.03953418964812108,0.1487036811852034,0.02839410145779837,0.025907313416429153,0.2486769224451924,0.5365452543201282,0.4974662867000417,0.4175165412154786,0.43358351215314744
약세패턴,-0.04315220759845801,-0.024702405699093023,0.007632598462986624,0.02573049872978359,0.03166530936552334,0.03491598501747559,-0.005797778618807294,0.03568115872343782,-0.033029787177970574,0.039176340542422965,0.04669280577325606,0.032501420195019004,0.03469506194709929,0.03600664624181979,0.03671140581958897,0.047360802538152585,-1.0,1.0,0.0476419732749,0.03953418964812108,-0.1487036811852034,-0.02839410145779837,-0.025907313416429153,-0.2486769224451924,-0.5365452543201282,-0.4974662867000417,-0.4175165412154786,-0.43358351215314744
골든크로스,0.7664892098835705,0.7794203581227205,0.8090137032067684,0.8462472976143941,0.8620753932167838,0.8441250492182126,0.7837361734943706,0.8268221617042751,0.6891937675337282,0.8767501317576043,0.8381205100634792,0.8243212430408203,0.7908401051316151,0.8076458931894204,0.7753780591678253,0.6659920487802587,-0.0476419732749,0.0476419732749,1.0,0.8797269686189962,-0.12680278672878192,-0.2540434589135956,-0.2539077109861473,0.01509123975407054,-0.042404102457556575,-0.04379281537641301,-0.07483667598800801,-0.09195018947338585
데드크로스,0.790072524924985,0.800559602997062,0.8283200292112095,0.8660692583881499,0.8857181089447501,0.8722435367084421,0.8011262912525235,0.8338368447903942,0.7097556730345563,0.8857210242056421,0.8552865230324411,0.8415770922548845,0.8099912391365645,0.8085023706324631,0.8092164372248767,0.6845546310976107,-0.03953418964812108,0.03953418964812108,0.8797269686189962,1.0,-0.1117380928774164,-0.2539568757712484,-0.2538621899333984,0.034582115691103546,-0.03233004130215655,-0.032986803568513176,-0.06298496076680857,-0.07572977527867457
거래량,-0.05634347005004987,-0.06350238687467413,-0.0750219142889757,-0.08880948274799925,-0.10217732472037377,-0.12608242363318947,-0.06374294338012723,-0.07789143636964238,-0.08031216158152844,-0.12090500241071041,-0.13302488475398877,-0.08217031484379148,-0.06376278769837303,-0.12610715817448576,-0.17369947539550384,-0.25808461855110326,0.1487036811852034,-0.1487036811852034,-0.12680278672878192,-0.1117380928774164,1.0,0.48614989029515965,0.48433934929542494,0.1005988539016528,0.10431098698244762,0.09804516935070533,0.21474820740850978,0.2077920140108331
OBV,-0.24340904868032848,-0.2444905276848642,-0.24637427729990533,-0.24777385962847828,-0.25147760784481016,-0.2599587105486826,-0.245360123029271,-0.25339448338023485,-0.25394639905352295,-0.25285607216897416,-0.2652178933782577,-0.24681603510403546,-0.261783258720071,-0.23088189526327765,-0.3069373142037895,-0.4038749278546624,0.02839410145779837,-0.02839410145779837,-0.2540434589135956,-0.2539568757712484,0.48614989029515965,1.0,0.9942098766917298,-0.0647066732829387,-0.04021578946234894,-0.04250462158806852,-0.0014420229474970145,-0.00603226024034675
Signal 9,-0.24594901280087966,-0.24593786646031185,-0.24688863082787701,-0.2478522893633868,-0.25141623738328234,-0.25991849699595543,-0.24600379954669763,-0.25356684152480696,-0.25486195357035757,-0.2529669658564816,-0.2653172901591813,-0.24675005803711852,-0.2621194649799407,-0.23030489065917345,-0.3067979569367173,-0.40397397217564424,0.025907313416429153,-0.025907313416429153,-0.2539077109861473,-0.2538621899333984,0.48433934929542494,0.9942098766917298,1.0,-0.06814539581498175,-0.04273036015342886,-0.04452276247439186,-0.004852546263535596,-0.009146479682630262
VR 21,0.1446693178883485,0.13286453896561645,0.1084214265513955,0.08309026328101425,0.06913603310120957,0.050720969462324475,0.12375403692090212,0.08324951460499981,0.1298086031892999,0.03435624431612907,0.042892226527108585,0.09165161768701881,0.10129322938997534,0.06201652761826056,0.04290089209178441,0.04822584338801029,0.2486769224451924,-0.2486769224451924,0.01509123975407054,0.034582115691103546,0.1005988539016528,-0.0647066732829387,-0.06814539581498175,1.0,0.3589634998479142,0.3693664902438581,0.39543223924980003,0.39001686345651115
"Slow %K 20,5",0.09888176822451811,0.08382148524597498,0.04530793304748842,0.01392966833031825,0.00044885996939515184,-0.010369941855423014,0.06335545072617224,0.003994747813118309,0.090173113082375,-0.029200868677642218,-0.02051680571770384,0.015630669597651997,0.018296348533589333,0.0024397830643070545,-0.014738248206885091,-0.013241473381186728,0.5365452543201282,-0.5365452543201282,-0.042404102457556575,-0.03233004130215655,0.10431098698244762,-0.04021578946234894,-0.04273036015342886,0.3589634998479142,1.0,0.8895468705546966,0.5618405260169207,0.5777301306056454
Slow %D 3,0.10175838399863085,0.09043585150158129,0.05295178321313948,0.01934545541569366,0.004063081261032089,-0.008648041075455097,0.0733430178373825,0.009265664271294398,0.09313008353829227,-0.03168888964728363,-0.02222642788201908,0.02326970669382665,0.026768928486106708,0.00851180667483442,-0.01397758271023766,-0.012506172528065403,0.4974662867000417,-0.4974662867000417,-0.04379281537641301,-0.032986803568513176,0.09804516935070533,-0.04250462158806852,-0.04452276247439186,0.3693664902438581,0.8895468705546966,1.0,0.5483755855110725,0.5668925312685011
