,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 20,2.4",상한선,하한선,224,448,Para SAR 강세패턴,약세패턴,골든크로스,데드크로스,거래량,OBV,Signal 9,VR 21,"Slow %K 20,5",Slow %D 3,RSI 21,CCI 42
종가,1.0,0.9963290724646886,0.9889896559716208,0.9780914791669574,0.9653930883461186,0.9367677732764849,0.9876272013862881,0.9670512014885796,0.9329624514378991,0.9208574456670644,0.8816634368583122,0.9804693200097644,0.9633543217081207,0.9324527289372524,0.8822525400464504,0.7846975560971852,0.04406894418786819,-0.04406894418786817,0.9029108674175309,0.9207631817344856,0.011849734627779735,-0.3842333971315552,-0.38588993120703197,0.024027316085070118,0.14320711586018145,0.14655511731021004,0.16716810641705415,0.11866105262286587
종가 지수 5,0.9963290724646886,1.0,0.9964537794560439,0.9868682103390084,0.974544225214686,0.946016418727138,0.9944714964330058,0.9753516609260732,0.9335603654142101,0.9304296182244504,0.8906210867832985,0.9896331322373577,0.9716635497486336,0.9420616171997815,0.8914079964516539,0.7920092495551686,0.0207442986696611,-0.020744298669661102,0.9118655228390599,0.9304335174388997,-0.004232693656877198,-0.3867832853584118,-0.3880996149689091,0.012726978221439544,0.12039295736393842,0.12982139079659125,0.13161682402604472,0.08211874016803032
15,0.9889896559716208,0.9964537794560439,1.0,0.9959755185086703,0.9865181976269155,0.9603619479324108,0.9941304039186032,0.9831419149618092,0.9292601224567546,0.9480113958750321,0.9076139483581449,0.9979628944986665,0.976002963712401,0.9549312156588069,0.9070197416300251,0.8076719379841917,-0.018155209776811357,0.01815520977681135,0.9285021389229043,0.948234992444092,-0.02377277695544165,-0.39094414157921925,-0.391891804123991,-0.005378072306551359,0.06515775398685678,0.0761987072663428,0.0739343835990441,0.026467427215993752
33,0.9780914791669574,0.9868682103390084,0.9959755185086703,1.0,0.996746375124864,0.9776224414794217,0.9852777273179587,0.9837642469119355,0.9205944365169735,0.9690759443042599,0.9317648321205367,0.9974828579867789,0.9698310512745227,0.9618099182574116,0.9291726141338771,0.8321967327435147,-0.038520184035406184,0.03852018403540617,0.9502396197131737,0.9686592632404329,-0.04087338332563327,-0.39705612803212514,-0.3977593259994049,-0.02061259376559305,0.020818309047772487,0.028549566515707014,0.013935136393865453,-0.025037599302382883
56,0.9653930883461186,0.974544225214686,0.9865181976269155,0.996746375124864,1.0,0.990516869196952,0.9727846331070895,0.9763191647735445,0.909424972823007,0.9790529535181043,0.9493722315478512,0.989502384868685,0.9572659239350158,0.9602991834378817,0.9505172290572096,0.858893174974549,-0.044697582452199444,0.04469758245219944,0.96406021084533,0.9794054906846982,-0.05298747225449186,-0.4032291687338752,-0.40379125694875656,-0.02823101492002647,7.607683559658006e-05,0.00512161266261873,-0.028721704988783375,-0.05633207112883816
112,0.9367677732764849,0.946016418727138,0.9603619479324108,0.9776224414794217,0.990516869196952,1.0,0.9435563048032037,0.9506881533900231,0.8824907824876658,0.9733285282468123,0.9576716626815044,0.9643414950943422,0.925759427570617,0.9451013657700977,0.9821249581284405,0.9088205627924311,-0.04718804562693383,0.04718804562693377,0.967473187384203,0.9773641970186797,-0.06762726150162746,-0.4148552798160856,-0.415279308976487,-0.034867825705537474,-0.015218148838930478,-0.012853879380286239,-0.07849666076595545,-0.08670246663368315
전환선 9,0.9876272013862881,0.9944714964330058,0.9941304039186032,0.9852777273179587,0.9727846331070895,0.9435563048032037,1.0,0.9813894504703409,0.9254632113715975,0.9289475247941297,0.8883404297878349,0.9889471370575088,0.978856893560027,0.9312852974912669,0.8879168675109091,0.7919451903554428,-0.005515019342934893,0.005515019342934903,0.9145857384499705,0.9294597180753409,-0.006907251362657686,-0.38453997352061725,-0.38568712509633185,0.003744082881473179,0.08948353153389277,0.10399549604325678,0.10856801698983788,0.06152224386409747
기준선 26,0.9670512014885796,0.9753516609260732,0.9831419149618092,0.9837642469119355,0.9763191647735445,0.9506881533900231,0.9813894504703409,1.0,0.9070702201819892,0.9458289018836233,0.9037558426728067,0.9846463496656155,0.9821061267300355,0.9175761862267386,0.8958665080346245,0.8088514974429225,-0.05334972284405878,0.05334972284405878,0.9415783440331077,0.9451382644895802,-0.021632605116520265,-0.39083754304374924,-0.3917723564403952,-0.01986476393834414,0.003932221652687611,0.011084752565677593,0.0387574381187837,-0.0030015655296394715
후행스팬 26,0.9329624514378991,0.9335603654142101,0.9292601224567546,0.9205944365169735,0.909424972823007,0.8824907824876658,0.9254632113715975,0.9070702201819892,1.0,0.8689150192663115,0.8372119233834346,0.9228516290350143,0.9005446982071483,0.8856321107149562,0.8281635940642452,0.730333154219199,0.038638973124676484,-0.038638973124676484,0.8422157117618447,0.8679481150128335,-0.007212034850770724,-0.38385389795549874,-0.3850714641330586,0.014484388308440618,0.13624642415526456,0.14062285594056265,0.15284698417010104,0.09878903643393461
"선행스팬1 9,26",0.9208574456670644,0.9304296182244504,0.9480113958750321,0.9690759443042599,0.9790529535181043,0.9733285282468123,0.9289475247941297,0.9458289018836233,0.8689150192663115,1.0,0.9683437364553823,0.9535222194839387,0.9167992302698754,0.9326626654637263,0.9325679033093861,0.8474580065402696,-0.05469032583591883,0.054690325835918846,0.9617514741698558,0.9763246507681985,-0.06425806810541902,-0.39578835262220646,-0.3961525021114267,-0.04503583607003981,-0.04077069041984977,-0.04404971922195541,-0.0996015720572565,-0.12110092511460735
