날짜,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 40,2.1",상한선,하한선,"Bollinger Bands중심선 20,2.4",상한선,하한선,종가 지수 2,3,5,224,448,Para SAR 강세패턴,약세패턴,RSI과매도,Stochastics 매수,MFI침체권,골든크로스,데드크로스,##5이평 15일선 골든크로스신호,##5이평 20일선 골든크로스신호,거래량,지수 5,15,56,112
20180704,306000,311088.3847,314474.1517,319753.1878,321216.1204,317872.6057,313250,319750,0,333500,320000,325754.1667,352822.8811,298685.4523,316958.3333,343116.2767,290800.39,307944.2377,309516.4044,311088.3847,314148.6142,316586.8721,0,1,0,0,0,333794.2412,324000,0,0,9395,121622.7185,150622.2659,156164.0673,166217.8666
20180703,309500,313632.5771,315684.7448,320612.762,321769.4338,318086.5265,313250,319750,0,336000,320000,326670.8333,353532.7904,299808.8763,318250,344918.4833,291581.5167,311832.7132,313032.8088,313632.5771,314221.6959,316634.2406,0,1,0,0,0,333794.2412,324000,0,0,190712,177736.5777,170797.5896,161501.1243,169043.5039
20180702,314500,315698.8656,316568.2797,321307.3097,322215.595,318241.2387,313250,319750,0,336375,320000,327720.8333,355118.299,300323.3677,319541.6667,347130.0338,291953.2996,316498.1397,316565.6177,315698.8656,314264.043,316666.1612,1,0,0,0,0,333794.2412,324000,314500,0,124177,171248.8666,167952.6738,160438.9106,168653.0805
20180629,322500,316298.2984,316863.7483,321732.7665,322496.1621,318308.6484,313250,319750,0,338125,320000,328425,356105.5472,300744.4528,320391.6667,348859.2693,291924.064,320494.4191,318631.2354,316298.2984,314261.9267,316675.8532,1,0,0,0,0,333794.2412,324000,0,0,153973,194784.7998,174206.3415,161757.5255,169454.4513
20180628,320000,313197.4476,316058.5694,321684.8144,322496.0226,318233.1286,312750,319750,0,338125,314750,328754.1667,356408.1523,301100.181,320875,349894.683,291855.317,316483.2573,314762.4707,313197.4476,314188.0427,316649.7943,1,0,0,0,0,333794.2412,324000,0,0,366189,215190.6998,177096.8188,162040.5992,169733.3964
20180627,309000,309796.1713,315495.5079,321790.1153,322586.787,318201.293,311250,319750,0,338125,314750,329104.1667,356640.9255,301567.4079,321558.3333,351308.0291,291808.6375,309449.7718,309524.9415,309796.1713,314135.9175,316634.8046,0,1,0,0,0,333794.2412,324000,0,0,150414,139691.5496,150083.6501,154617.021,166193.6558
20180626,311000,310194.257,316423.4376,322589.4975,323080.852,318367.0821,312500,319750,0,338125,314750,329737.5,356580.4564,302894.5436,322633.3333,352101.5807,293165.086,310349.3153,310049.883,310194.257,314181.9795,316668.9648,0,1,0,0,0,333794.2412,324000,0,0,106792,134330.3245,150036.4573,154769.8581,166477.9739
20180625,308500,309791.3855,317198.2144,323313.8411,323520.1557,318499.8223,315250,319750,0,338125,314750,330454.1667,356569.5366,304338.7967,323825,352907.3589,294742.6411,309047.9459,309099.766,309791.3855,314210.5175,316694.3293,0,1,0,0,0,333794.2412,324000,0,0,86939,148099.4867,156214.2369,156514.5075,167553.3969
20180622,311500,310437.0783,318440.8165,324239.7062,324066.3432,318679.9993,317500,319750,0,338750,314750,331091.6667,356086.0474,306097.2859,325116.6667,353231.0331,297002.3002,310143.8378,309699.5319,310437.0783,314261.7329,316730.993,0,1,0,0,0,333794.2412,324000,0,0,169792,178679.73,166110.6993,159044.5259,169005.9085
20180621,306500,309905.6174,319432.3617,325035.9378,324523.3011,318809.3687,319750,323000,0,339500,314750,331866.6667,355864.0358,307869.2975,326033.3333,352687.1436,299379.5231,307431.5135,307899.0638,309905.6174,314286.5018,316754.3979,0,1,0,0,0,333794.2412,324000,0,0,155393,183123.5951,165584.7992,158653.7087,168991.7447
