날짜,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 40,2.1",상한선,하한선,"Bollinger Bands중심선 20,2.4",상한선,하한선,종가 지수 2,3,5,224,448,Para SAR 강세패턴,약세패턴,RSI과매도,Stochastics 매수,MFI침체권,골든크로스,데드크로스,##5이평 15일선 골든크로스신호,##5이평 20일선 골든크로스신호,거래량,지수 5,15,56,112
20180704,7820,7949.796517,8378.222997,8510.938028,8385.284372,7956.455109,8155,9560,0,8075,8035,8507,10819.58527,6194.414735,8815.333333,10443.25844,7187.408224,7819.481012,7855.349522,7949.796517,7235.074937,6400.813222,0,1,0,0,0,7391.198553,8860,0,0,31549,231944.9463,675493.5072,1330864.714,1344916.907
20180703,7730,8014.694775,8457.969139,8554.121655,8405.840167,7958.91376,8215,9560,0,8075,8035,8499.666667,10823.59804,6175.735297,8943.5,10676.38656,7210.613437,7818.443036,7890.699044,8014.694775,7229.828972,6394.463394,0,1,0,0,0,7391.198553,8860,0,0,380414,332142.9195,767485.5797,1378112.558,1368581.193
20180702,7900,8157.042163,8561.964731,8605.629258,8430.416173,7963.038332,8380,9685,0,7850,7885,8492.833333,10827.97057,6157.6961,9076,10844.59646,7307.40354,7995.329109,8051.398087,8157.042163,7225.343133,6388.487838,0,1,0,0,0,7391.198553,8860,0,0,254311,308007.3792,822781.5196,1414392.506,1386386.008
20180629,8250,8285.563245,8656.531121,8649.731087,8449.704034,7964.174158,8620,9530,0,7640,7885,8484.833333,10829.1008,6140.565862,9185.666667,10957.53411,7413.799222,8185.987326,8202.796174,8285.563245,7219.292399,6381.72492,0,1,0,0,0,7391.198553,8860,0,0,302636,334855.5688,903991.5938,1456577.288,1406783.755
20180628,7920,8303.344867,8714.606995,8674.71428,8456.965999,7959.024143,8770,9530,0,7577.5,7885,8479.083333,10828.25246,6129.91421,9306.833333,11121.03063,7492.636034,8057.961977,8155.592349,8303.344867,7210.048385,6373.365748,0,1,0,0,0,7391.198553,8860,0,0,269162,350965.3533,989899.5358,1498538.789,1426678.31
20180627,8210,8495.0173,8828.12228,8721.883922,8476.492035,7959.72728,9180,9480,0,7552.5,7885,8477.166667,10828.03752,6126.295818,9398.5,11094.57071,7702.429294,8333.88593,8391.184697,8495.0173,7203.681105,6366.445684,0,1,0,0,0,7391.198553,8860,0,0,355359,391867.0299,1092862.041,1543243.4,1447534.459
20180626,8640,8637.52595,8916.425463,8753.876667,8486.182655,7955.217862,9180,9310,0,7552.5,7885,8466.5,10823.93484,6109.065159,9413.166667,11063.67248,7762.660853,8581.657789,8572.369394,8637.52595,7194.655824,6358.197119,0,1,0,0,0,7391.198553,8860,0,0,176597,410121.0448,1198219.618,1586439.196,1467213.296
20180625,8470,8636.288926,8955.914815,8760.993959,8480.589297,7942.879445,9180,9190,0,7522.5,7885,8450.916667,10815.15461,6086.67872,9425.666667,11042.77935,7808.55398,8464.973368,8504.738789,8636.288926,7181.693096,6347.98771,0,1,0,0,0,7391.198553,8860,0,0,279440,526883.0672,1344165.707,1637706.185,1490467.644
20180622,8430,8719.433388,9025.331217,8779.181082,8480.974362,7933.381777,9180,9190,0,7522.5,7885,8440.166667,10807.88857,6072.44476,9420,11057.0295,7782.970495,8454.920103,8539.477577,8719.433388,7170.138774,6338.493248,0,1,0,0,0,7391.198553,8860,0,0,507215,650604.6008,1496269.379,1687097.683,1512287.962
20180621,8310,8864.150082,9110.378534,8801.004899,8482.827975,7924.433701,9270,9190,0,7600,7885,8438.666667,10806.67562,6070.657712,9392,11154.22296,7629.77704,8504.760308,8648.955155,8864.150082,7158.83957,6329.135276,0,1,0,0,0,7391.198553,8860,0,0,616974,722299.4012,1637562.862,1730002.508,1530397.385
