날짜,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 40,2.1",상한선,하한선,"Bollinger Bands중심선 20,2.4",상한선,하한선,종가 지수 2,3,5,224,448,Para SAR 강세패턴,약세패턴,RSI과매도,Stochastics 매수,MFI침체권,골든크로스,데드크로스,##5이평 15일선 골든크로스신호,##5이평 20일선 골든크로스신호,거래량,지수 5,15,56,112
20180704,6910,7022.769817,7319.586848,7436.023626,7356.978126,7176.806183,7285,7625,0,7410,7135,7641.666667,8447.639991,6835.693342,7568.666667,8536.684518,6600.648816,6905.152682,6936.785762,7022.769817,7276.330094,8265.649927,0,1,0,0,0,6496.040489,7700,0,0,530,21462.94235,33846.61183,50628.56896,51886.50878
20180703,6860,7079.154726,7378.099255,7468.900102,7373.231876,7181.613502,7300,7640,0,7410,7135,7646.416667,8434.455307,6858.378026,7626.5,8540.502976,6712.497024,6895.458046,6963.571523,7079.154726,7279.615566,8271.715475,0,1,0,0,0,6496.040489,7700,0,0,12010,31929.41353,38606.1278,52450.33511,52811.85128
20180702,6810,7188.732088,7452.113434,7506.956359,7391.894853,7187.408339,7315,7655,0,7355,7080,7649.25,8425.87703,6872.62297,7690,8543.330417,6836.669583,6966.374137,7067.143046,7188.732088,7283.378934,8278.031875,0,1,0,0,0,6496.040489,7700,0,0,43915,41889.12029,42405.57463,53920.89275,53547.01977
20180629,7200,7378.098133,7543.843925,7550.516131,7413.054666,7194.20849,7430,7770,0,7355,7080,7648.083333,8429.149543,6867.017123,7750.166667,8553.967538,6946.365796,7279.12241,7324.286092,7378.098133,7287.624485,8284.600251,0,1,0,0,0,6496.040489,7700,0,0,61841,40876.18043,42189.94244,54284.74339,53720.56967
20180628,7400,7467.147199,7592.964485,7572.42339,7420.802109,7194.104138,7475,7815,0,7332.5,7080,7643.5,8436.655834,6850.344166,7798,8591.769337,7004.230663,7437.367229,7448.572184,7467.147199,7288.410355,8289.453048,1,0,0,0,0,6496.040489,7700,0,0,23651,30393.77065,39382.6485,54009.97042,53574.25561
20180627,7580,7500.720798,7620.53084,7583.199851,7421.558549,7190.394303,7490,7815,0,7305,7080,7631.833333,8448.910489,6814.756178,7835.5,8644.075142,7026.924858,7512.101688,7497.144369,7500.720798,7287.409551,8293.432704,1,0,0,0,0,6496.040489,7700,0,0,52802,33765.15598,41630.02685,55113.93298,54113.41337
20180626,7300,7461.081198,7626.32096,7583.399842,7415.797042,7183.37438,7615,7800,0,7265,7080,7611.916667,8477.051092,6746.782241,7847.333333,8642.042236,7052.624431,7376.305063,7414.288738,7461.081198,7284.785421,8296.624796,0,1,0,0,0,6496.040489,7700,0,0,21834,24246.73397,40034.03069,55198.00328,54137.04244
20180625,7520,7541.621796,7672.93824,7601.112332,7420.007843,7181.273018,7615,7800,0,7265,7080,7592.583333,8514.546697,6670.619969,7868.833333,8623.620827,7114.04584,7528.915188,7528.577476,7541.621796,7284.648968,8301.083968,0,1,0,0,0,6496.040489,7700,0,0,10595,25453.10095,42634.03508,56411.23976,54719.07924
20180622,7540,7552.432694,7694.78656,7606.181853,7416.371765,7175.169829,7685,7800,0,7240,7080,7566.25,8555.781384,6576.718616,7878,8616.397833,7139.602167,7546.745565,7537.154951,7552.432694,7282.538196,8304.578751,0,1,0,0,0,6496.040489,7700,0,0,31136,32882.15143,47211.04009,58077.28484,55514.1077
20180621,7640,7558.649042,7716.898926,7610.318219,7411.876193,7168.596312,7800,7800,0,7240,7080,7541.666667,8583.738401,6499.594932,7886.5,8608.543655,7164.456345,7560.236696,7534.309902,7558.649042,7280.229121,8307.999685,0,1,0,0,0,6496.040489,7700,0,0,35690,33755.22714,49507.47438,59056.96793,55953.35288
20180620,7430,7517.973562,7727.884487,7608.463107,7403.580781,7160.102552,7800,7800,0,7240,7080,7514.583333,8611.71994,6417.446726,7898.833333,8601.665433,7196.001234,7400.710087,7428.619804,7517.973562,7277.002477,8310.988498,0,1,0,0,0,6496.040489,7700,0,0,17046,32787.84071,51481.3993,59906.67585,56318.45834
20180619,7260,7561.960344,7770.439414,7619.617052,7402.620083,7155.239535,7800,7800,0,7230,7075,7494.166667,8636.812144,6351.521189,7908.166667,8574.60304,7241.730293,7342.130261,7427.239609,7561.960344,7275.630302,8314.930281,0,1,0,0,0,6496.040489,7700,0,0,37169,40658.76106,56400.74205,61465.24588,57026.0702
