날짜,종가,종가 지수 5,15,33,56,112,전환선 9,기준선 26,후행스팬 26,"선행스팬1 9,26","선행스팬2 52,26","Bollinger Bands중심선 40,2.1",상한선,하한선,"Bollinger Bands중심선 20,2.4",상한선,하한선,종가 지수 2,3,5,224,448,Para SAR 강세패턴,약세패턴,RSI과매도,Stochastics 매수,MFI침체권,골든크로스,데드크로스,##5이평 15일선 골든크로스신호,##5이평 20일선 골든크로스신호,거래량,지수 5,15,56,112
20180704,25400,24020.80197,25169.22546,23982.7454,21983.68618,18855.1243,26400,29275,0,19175,18850,23313.33333,34177.26286,12449.40381,26895,38915.25025,14874.74975,24392.6872,24021.23538,24020.80197,16270.74257,14663.84191,0,1,0,0,0,19249.02204,22850,0,0,604115,421627.8979,657399.163,614364.2737,431073.6163
20180703,22300,23331.20295,25136.25767,23894.16699,21859.45659,18737.19862,28250,27675,0,19462.5,18850,23222.08333,34106.71303,12337.45363,26658.33333,39190.49675,14126.16991,22378.06159,22642.47076,23331.20295,16188.86582,14615.80541,0,1,0,0,0,19249.02204,22850,0,0,225705,330384.3468,665011.1863,614736.9745,427955.7535
20180702,21700,23846.80443,25541.43733,23993.80242,21843.43683,18673.004,28725,27675,0,20287.5,18700,23202.5,34102.22591,12302.77409,26575,39325.49489,13824.50511,22534.18476,22984.94152,23846.80443,16134.05744,14581.42423,0,1,0,0,0,19249.02204,22850,0,0,272481,382724.0202,727769.2129,628883.5918,431599.9112
20180629,24600,24920.20664,26090.2141,24137.16508,21848.65271,18618.46353,29225,27675,0,20187.5,18400,23059.16667,34147.52337,11970.80996,26442.5,39495.69256,13389.30744,24202.55427,24269.88304,24920.20664,16084.13868,14549.57377,0,1,0,0,0,19249.02204,22850,0,0,292415,437845.5303,792810.3862,641843.6861,434466.9186
20180628,23200,25080.30996,26303.10182,24108.23789,21748.60372,18510.6881,31600,27675,0,20262.5,18400,22849.58333,34197.14656,11502.02011,26210,39731.97264,12688.02736,23407.66282,23939.76609,25080.30996,16007.76324,14504.60542,0,1,0,0,0,19249.02204,22850,0,0,375096,510560.7954,864295.4413,654550.1837,437026.4127
20180627,22850,26020.46494,26746.40209,24165.00276,21695.82568,18426.19599,31600,27675,0,20262.5,18200,22666.66667,34254.55037,11078.78296,26002.5,39974.9373,12030.0627,23822.98846,24679.53217,26020.46494,15943.25887,14465.69986,0,1,0,0,0,19249.02204,22850,0,0,385908,578293.1931,934181.0758,664712.154,438142.276
20180626,25000,27605.69741,27303.03095,24247.19043,21653.8557,18346.48781,32375,27675,0,20275,18175,22484.16667,34272.34372,10695.98962,25783.33333,40180.10519,11386.56147,25768.96539,26509.06434,27605.69741,15881.31501,14428.18621,0,1,0,0,0,19249.02204,17800,0,0,331617,674485.7896,1012505.801,674850.4869,439083.4341
20180625,26500,28908.54611,27632.03538,24200.13984,21532.17773,18226.60471,33550,27675,0,20262.5,18125,22263.33333,34195.78812,10330.87855,25292.5,40715.65908,9869.34092,27306.89618,28018.12868,28908.54611,15799.53308,14380.88503,0,1,0,0,0,19249.02204,17800,0,0,330129,845920.1844,1109775.63,687331.7046,441019.7662
20180622,28200,30112.81917,27793.75472,24056.39858,21351.52964,18077.53452,32250,27675,0,20262.5,18125,22021.66667,33941.53625,10101.79708,24851.66667,40659.19348,9044.139852,28920.68855,29536.25737,30112.81917,15703.56477,14326.6608,0,1,0,0,0,19249.02204,17800,0,0,752047,1103815.777,1221153.72,700320.8939,443017.7981
20180621,29600,31069.22875,27735.71968,23797.42349,21102.49436,17895.14776,30075,27675,0,19712.5,18125,21722.08333,33485.40679,9958.759877,24321.66667,40248.47978,8394.853552,30362.06566,30872.51474,31069.22875,15591.48911,14264.58769,1,0,0,0,0,19249.02204,17800,0,0,1143065,1279700.165,1288168.965,698439.9446,437449.7043
