LR:0.001, DF : 0, TU : [1, 2],DRT: 0.2
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('E:\\ananconda\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('E:\\ananconda\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
[Epoch 0001/1000]	Epsilon:0.5000	#Expl.:4367/8707	#Buy:3429	#Sell:3423	#Hold:1855	#Stocks:19	PV:\50,723,380	POS:108	NEG:53	Loss:  0.126420
[Epoch 0002/1000]	Epsilon:0.4995	#Expl.:4352/8707	#Buy:2608	#Sell:2549	#Hold:3550	#Stocks:51	PV:\128,270,478	POS:59	NEG:99	Loss:  0.127330
[Epoch 0003/1000]	Epsilon:0.4990	#Expl.:4366/8707	#Buy:2404	#Sell:2359	#Hold:3944	#Stocks:54	PV:\134,541,858	POS:59	NEG:98	Loss:  0.126777
[Epoch 0004/1000]	Epsilon:0.4985	#Expl.:4355/8707	#Buy:2528	#Sell:2503	#Hold:3676	#Stocks:49	PV:\128,065,295	POS:57	NEG:105	Loss:  0.127001
[Epoch 0005/1000]	Epsilon:0.4980	#Expl.:4284/8707	#Buy:2528	#Sell:2517	#Hold:3662	#Stocks:55	PV:\134,778,768	POS:58	NEG:99	Loss:  0.126466
[Epoch 0006/1000]	Epsilon:0.4975	#Expl.:4416/8707	#Buy:2731	#Sell:2645	#Hold:3331	#Stocks:57	PV:\142,985,421	POS:120	NEG:40	Loss:  0.128961
[Epoch 0007/1000]	Epsilon:0.4970	#Expl.:4308/8707	#Buy:2865	#Sell:2730	#Hold:3112	#Stocks:59	PV:\145,700,422	POS:117	NEG:46	Loss:  0.127909
[Epoch 0008/1000]	Epsilon:0.4965	#Expl.:4313/8707	#Buy:2550	#Sell:2497	#Hold:3660	#Stocks:65	PV:\160,887,849	POS:135	NEG:46	Loss:  0.127547
[Epoch 0009/1000]	Epsilon:0.4960	#Expl.:4353/8707	#Buy:2713	#Sell:2597	#Hold:3397	#Stocks:67	PV:\165,127,005	POS:133	NEG:46	Loss:  0.127742
[Epoch 0010/1000]	Epsilon:0.4955	#Expl.:4319/8707	#Buy:2651	#Sell:2560	#Hold:3496	#Stocks:69	PV:\170,430,478	POS:137	NEG:44	Loss:  0.126364
[Epoch 0011/1000]	Epsilon:0.4950	#Expl.:4230/8707	#Buy:2573	#Sell:2495	#Hold:3639	#Stocks:65	PV:\161,295,083	POS:137	NEG:46	Loss:  0.126654
[Epoch 0012/1000]	Epsilon:0.4945	#Expl.:4202/8707	#Buy:2676	#Sell:2554	#Hold:3477	#Stocks:66	PV:\162,068,780	POS:67	NEG:112	Loss:  0.128094
[Epoch 0013/1000]	Epsilon:0.4940	#Expl.:4269/8707	#Buy:2460	#Sell:2384	#Hold:3863	#Stocks:67	PV:\165,496,482	POS:141	NEG:45	Loss:  0.125516
[Epoch 0014/1000]	Epsilon:0.4935	#Expl.:4299/8707	#Buy:2555	#Sell:2473	#Hold:3679	#Stocks:65	PV:\163,027,073	POS:75	NEG:111	Loss:  0.127522
