LR:0.001, DF : 0, TU : [1, 2],DRT: 0.2
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Users\\shing\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('C:\\Users\\shing\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
[Epoch 0001/1000]	Epsilon:0.5000	#Expl.:4013/8003	#Buy:2337	#Sell:2072	#Hold:3594	#Stocks:161	PV:\1,614,400	POS:68	NEG:76	Loss:  0.127615
[Epoch 0002/1000]	Epsilon:0.4995	#Expl.:3977/8003	#Buy:2956	#Sell:2881	#Hold:2166	#Stocks:434	PV:\4,352,955	POS:136	NEG:120	Loss:  0.127966
[Epoch 0003/1000]	Epsilon:0.4990	#Expl.:4024/8003	#Buy:2983	#Sell:2862	#Hold:2158	#Stocks:630	PV:\6,310,844	POS:133	NEG:127	Loss:  0.128126
[Epoch 0004/1000]	Epsilon:0.4985	#Expl.:4011/8003	#Buy:3075	#Sell:2982	#Hold:1946	#Stocks:496	PV:\4,976,977	POS:140	NEG:123	Loss:  0.128210
[Epoch 0005/1000]	Epsilon:0.4980	#Expl.:3964/8003	#Buy:3104	#Sell:2831	#Hold:2068	#Stocks:866	PV:\8,672,633	POS:138	NEG:123	Loss:  0.128129
[Epoch 0006/1000]	Epsilon:0.4975	#Expl.:3930/8003	#Buy:2348	#Sell:2288	#Hold:3367	#Stocks:641	PV:\6,426,238	POS:146	NEG:130	Loss:  0.127857
[Epoch 0007/1000]	Epsilon:0.4970	#Expl.:3993/8003	#Buy:2492	#Sell:2427	#Hold:3084	#Stocks:534	PV:\5,344,493	POS:144	NEG:128	Loss:  0.127407
[Epoch 0008/1000]	Epsilon:0.4965	#Expl.:4050/8003	#Buy:2614	#Sell:2436	#Hold:2953	#Stocks:761	PV:\9,727,557	POS:146	NEG:129	Loss:  0.127989
[Epoch 0009/1000]	Epsilon:0.4960	#Expl.:4012/8003	#Buy:2583	#Sell:2513	#Hold:2907	#Stocks:638	PV:\7,630,450	POS:143	NEG:129	Loss:  0.128274
[Epoch 0010/1000]	Epsilon:0.4955	#Expl.:3929/8003	#Buy:2515	#Sell:2579	#Hold:2909	#Stocks:234	PV:\16,304,282	POS:137	NEG:126	Loss:  0.127474
[Epoch 0011/1000]	Epsilon:0.4950	#Expl.:3913/8003	#Buy:2440	#Sell:2523	#Hold:3040	#Stocks:313	PV:\15,329,922	POS:138	NEG:129	Loss:  0.127687
[Epoch 0012/1000]	Epsilon:0.4945	#Expl.:4034/8003	#Buy:2534	#Sell:2440	#Hold:3029	#Stocks:598	PV:\12,957,946	POS:146	NEG:127	Loss:  0.128004
[Epoch 0013/1000]	Epsilon:0.4940	#Expl.:3949/8003	#Buy:2468	#Sell:2283	#Hold:3252	#Stocks:789	PV:\10,455,146	POS:150	NEG:126	Loss:  0.128367
[Epoch 0014/1000]	Epsilon:0.4935	#Expl.:3989/8003	#Buy:2485	#Sell:2391	#Hold:3127	#Stocks:582	PV:\12,148,222	POS:141	NEG:130	Loss:  0.128191
[Epoch 0015/1000]	Epsilon:0.4930	#Expl.:3945/8003	#Buy:2251	#Sell:2060	#Hold:3692	#Stocks:875	PV:\10,558,841	POS:152	NEG:129	Loss:  0.127647
[Epoch 0016/1000]	Epsilon:0.4925	#Expl.:3956/8003	#Buy:2246	#Sell:2066	#Hold:3691	#Stocks:826	PV:\8,271,641	POS:152	NEG:130	Loss:  0.127687
[Epoch 0017/1000]	Epsilon:0.4920	#Expl.:3901/8003	#Buy:2334	#Sell:2136	#Hold:3533	#Stocks:928	PV:\10,245,739	POS:152	NEG:132	Loss:  0.127784
[Epoch 0018/1000]	Epsilon:0.4915	#Expl.:3966/8003	#Buy:2302	#Sell:2200	#Hold:3501	#Stocks:687	PV:\15,370,329	POS:146	NEG:129	Loss:  0.127100
[Epoch 0019/1000]	Epsilon:0.4910	#Expl.:3879/8003	#Buy:2223	#Sell:2171	#Hold:3609	#Stocks:655	PV:\15,590,593	POS:147	NEG:130	Loss:  0.126860
[Epoch 0020/1000]	Epsilon:0.4905	#Expl.:3958/8003	#Buy:2301	#Sell:2117	#Hold:3585	#Stocks:896	PV:\9,412,249	POS:145	NEG:130	Loss:  0.127604
[Epoch 0021/1000]	Epsilon:0.4900	#Expl.:3953/8003	#Buy:2222	#Sell:2271	#Hold:3510	#Stocks:447	PV:\16,684,747	POS:150	NEG:136	Loss:  0.127472
